lane_id,det_id
136512005#1_0,e1det_136512005#1_0
136512005#2_0,e1det_136512005#2_0
136512005#3_0,e1det_136512005#3_0
136512006#0_0,e1det_136512006#0_0
136512006#2_0,e1det_136512006#2_0
136512006#3_0,e1det_136512006#3_0
136512006#5_0,e1det_136512006#5_0
136512006#8_0,e1det_136512006#8_0
136512006#9_0,e1det_136512006#9_0
136512007#0_0,e1det_136512007#0_0
136512007#10_0,e1det_136512007#10_0
136512007#2_0,e1det_136512007#2_0
136512007#4_0,e1det_136512007#4_0
136512007#5_0,e1det_136512007#5_0
136512007#6_0,e1det_136512007#6_0
136512007#7_0,e1det_136512007#7_0
136512007#9_0,e1det_136512007#9_0
136512009#10_0,e1det_136512009#10_0
136512009#11_0,e1det_136512009#11_0
136512009#12_0,e1det_136512009#12_0
136512009#14_0,e1det_136512009#14_0
136512009#2_0,e1det_136512009#2_0
136512009#3_0,e1det_136512009#3_0
136512009#6_0,e1det_136512009#6_0
136512009#8_0,e1det_136512009#8_0
136512012#2_0,e1det_136512012#2_0
136512013#1_0,e1det_136512013#1_0
136512015#0_0,e1det_136512015#0_0
136512015#2_0,e1det_136512015#2_0
136512015#4_0,e1det_136512015#4_0
136512016#1_0,e1det_136512016#1_0
136512016#2_0,e1det_136512016#2_0
136512017_0,e1det_136512017_0
136512018_0,e1det_136512018_0
136512024#0_0,e1det_136512024#0_0
136512024#1_0,e1det_136512024#1_0
136512025_0,e1det_136512025_0
136512026_0,e1det_136512026_0
136512027_0,e1det_136512027_0
136512028#1_0,e1det_136512028#1_0
136512030#2_0,e1det_136512030#2_0
136512037#2_0,e1det_136512037#2_0
136512038_0,e1det_136512038_0
136512207#1_0,e1det_136512207#1_0
136597116_0,e1det_136597116_0
136597132_0,e1det_136597132_0
136702234_0,e1det_136702234_0
136702236_0,e1det_136702236_0
136702241#0_0,e1det_136702241#0_0
136702242#0_0,e1det_136702242#0_0
136867389#1_0,e1det_136867389#1_0
136867389#1_1,e1det_136867389#1_1
136867395#2_0,e1det_136867395#2_0
136867395#2_1,e1det_136867395#2_1
138684148_0,e1det_138684148_0
138684423#0_0,e1det_138684423#0_0
138684423#0_1,e1det_138684423#0_1
138684423#3_0,e1det_138684423#3_0
138684423#3_1,e1det_138684423#3_1
138684850_0,e1det_138684850_0
138685369_0,e1det_138685369_0
138690677#0_0,e1det_138690677#0_0
138690677#0_1,e1det_138690677#0_1
138690677#1_0,e1det_138690677#1_0
138690677#1_1,e1det_138690677#1_1
138690677#2_0,e1det_138690677#2_0
138690677#2_1,e1det_138690677#2_1
138690698#0_0,e1det_138690698#0_0
138690698#19_0,e1det_138690698#19_0
138690698#1_0,e1det_138690698#1_0
138690698#24_0,e1det_138690698#24_0
138690698#25_0,e1det_138690698#25_0
138690698#2_0,e1det_138690698#2_0
138690698#3_0,e1det_138690698#3_0
138690698#4_0,e1det_138690698#4_0
138690698#5_0,e1det_138690698#5_0
138693083_0,e1det_138693083_0
138693083_1,e1det_138693083_1
138693089_0,e1det_138693089_0
138693091#0_0,e1det_138693091#0_0
138693092_0,e1det_138693092_0
138694664_0,e1det_138694664_0
138694684#0_0,e1det_138694684#0_0
138694684#1_0,e1det_138694684#1_0
138694684#2_0,e1det_138694684#2_0
139542981_0,e1det_139542981_0
139882019#0_0,e1det_139882019#0_0
139882019#0_1,e1det_139882019#0_1
139882019#1_0,e1det_139882019#1_0
139882019#1_1,e1det_139882019#1_1
139882019#2_0,e1det_139882019#2_0
139882019#2_1,e1det_139882019#2_1
139882020#0_0,e1det_139882020#0_0
139882020#2_0,e1det_139882020#2_0
139882023#0_0,e1det_139882023#0_0
139882023#1_0,e1det_139882023#1_0
139882023#2_0,e1det_139882023#2_0
